date,month,n_days,births,total_pop,country
1938-01-01,1,31,51820,41215000,England and Wales
1938-02-01,2,28,47421,41215000,England and Wales
1938-03-01,3,31,54887,41215000,England and Wales
1938-04-01,4,30,54623,41215000,England and Wales
1938-05-01,5,31,56853,41215000,England and Wales
1938-06-01,6,30,53145,41215000,England and Wales
1938-07-01,7,31,53214,41215000,England and Wales
1938-08-01,8,31,50444,41215000,England and Wales
1938-09-01,9,30,50545,41215000,England and Wales
1938-10-01,10,31,50079,41215000,England and Wales
1938-11-01,11,30,47850,41215000,England and Wales
1938-12-01,12,31,50323,41215000,England and Wales
1939-01-01,1,31,51350,41460000,England and Wales
1939-02-01,2,28,46990,41460000,England and Wales
1939-03-01,3,31,54389,41460000,England and Wales
1939-04-01,4,30,54127,41460000,England and Wales
1939-05-01,5,31,56337,41460000,England and Wales
1939-06-01,6,30,52662,41460000,England and Wales
1939-07-01,7,31,53515,41460000,England and Wales
1939-08-01,8,31,51338,41460000,England and Wales
1939-09-01,9,30,50605,41460000,England and Wales
1939-10-01,10,31,48832,41460000,England and Wales
1939-11-01,11,30,46025,41460000,England and Wales
1939-12-01,12,31,48309,41460000,England and Wales
1940-01-01,1,31,50281,39889000,England and Wales
1940-02-01,2,29,49846,39889000,England and Wales
1940-03-01,3,31,53583,39889000,England and Wales
1940-04-01,4,30,52340,39889000,England and Wales
1940-05-01,5,31,53100,39889000,England and Wales
1940-06-01,6,30,47749,39889000,England and Wales
1940-07-01,7,31,49459,39889000,England and Wales
1940-08-01,8,31,49217,39889000,England and Wales
1940-09-01,9,30,50516,39889000,England and Wales
1940-10-01,10,31,46133,39889000,England and Wales
1940-11-01,11,30,41560,39889000,England and Wales
1940-12-01,12,31,46336,39889000,England and Wales
1941-01-01,1,31,48889,38743000,England and Wales
1941-02-01,2,28,44708,38743000,England and Wales
1941-03-01,3,31,49406,38743000,England and Wales
1941-04-01,4,30,47833,38743000,England and Wales
1941-05-01,5,31,49550,38743000,England and Wales
1941-06-01,6,30,45697,38743000,England and Wales
1941-07-01,7,31,48318,38743000,England and Wales
1941-08-01,8,31,49417,38743000,England and Wales
1941-09-01,9,30,50570,38743000,England and Wales
1941-10-01,10,31,49172,38743000,England and Wales
1941-11-01,11,30,46158,38743000,England and Wales
1941-12-01,12,31,49373,38743000,England and Wales
1942-01-01,1,31,52070,38243000,England and Wales
1942-02-01,2,28,47451,38243000,England and Wales
1942-03-01,3,31,56797,38243000,England and Wales
1942-04-01,4,30,55007,38243000,England and Wales
1942-05-01,5,31,57159,38243000,England and Wales
1942-06-01,6,30,56144,38243000,England and Wales
1942-07-01,7,31,55708,38243000,England and Wales
1942-08-01,8,31,56110,38243000,England and Wales
1942-09-01,9,30,55022,38243000,England and Wales
1942-10-01,10,31,54607,38243000,England and Wales
1942-11-01,11,30,51024,38243000,England and Wales
1942-12-01,12,31,54404,38243000,England and Wales
1943-01-01,1,31,57651,37818000,England and Wales
1943-02-01,2,28,53214,37818000,England and Wales
1943-03-01,3,31,60988,37818000,England and Wales
1943-04-01,4,30,58983,37818000,England and Wales
1943-05-01,5,31,61399,37818000,England and Wales
1943-06-01,6,30,58522,37818000,England and Wales
1943-07-01,7,31,58980,37818000,England and Wales
1943-08-01,8,31,56260,37818000,England and Wales
1943-09-01,9,30,56175,37818000,England and Wales
1943-10-01,10,31,54456,37818000,England and Wales
1943-11-01,11,30,52170,37818000,England and Wales
1943-12-01,12,31,55536,37818000,England and Wales
1944-01-01,1,31,58313,37785000,England and Wales
1944-02-01,2,29,58489,37785000,England and Wales
1944-03-01,3,31,67038,37785000,England and Wales
1944-04-01,4,30,65352,37785000,England and Wales
1944-05-01,5,31,69333,37785000,England and Wales
1944-06-01,6,30,65863,37785000,England and Wales
1944-07-01,7,31,64874,37785000,England and Wales
1944-08-01,8,31,59118,37785000,England and Wales
1944-09-01,9,30,59721,37785000,England and Wales
1944-10-01,10,31,61197,37785000,England and Wales
1944-11-01,11,30,59073,37785000,England and Wales
