id,name,state,census_region,pop_dens,pop_dens4,pop_dens6,pct_black,pop,female,white,black,travel_time,land_area,hh_income,su_gun4,su_gun6,fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_dem_2012,per_gop_2012,diff_2012,winner,partywinner16,winner12,partywinner12,flipped
0,NA,NA,NA,"[   50,  100)","[ 45,  118)","[ 82,  215)","[10.0,15.0)",318857056,50.8,77.7,13.2,25.5,3531905.43,53046,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01000,1,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[25.0,50.0)",4849377,51.5,69.8,26.6,24.2,50645.33,43253,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,Autauga County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[15.0,25.0)",55395,51.5,78.1,18.4,26.2,594.44,53682,"[11,54]","[10,12)",1001,5908,18110,24661,0.23956855,0.734357893,12202,0.265757664,0.726337362,11012,Trump,Republican,Romney,Republican,No
01003,Baldwin County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[ 5.0,10.0)",200111,51.2,87.3,9.5,25.9,1589.78,50221,"[11,54]","[10,12)",1003,18409,72780,94090,0.195653098,0.77351472,54371,0.215665741,0.773897491,47443,Trump,Republican,Romney,Republican,No
01005,Barbour County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[25.0,50.0)",26887,46.5,50.2,47.6,24.6,884.88,32911,"[ 5, 8)","[ 7, 8)",1005,4848,5431,10390,0.466602502,0.522714148,583,0.512522908,0.483375513,334,Trump,Republican,Obama,Democrat,Yes
01007,Bibb County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[15.0,25.0)",22506,46,76.3,22.1,27.6,622.58,36447,"[11,54]","[10,12)",1007,1874,6733,8748,0.214220393,0.769661637,4859,0.262185675,0.730663806,3931,Trump,Republican,Romney,Republican,No
01009,Blount County,AL,South,"[   50,  100)","[ 45,  118)","[ 82,  215)","[ 0.0, 2.0)",57719,50.6,96,1.8,33.9,644.78,44145,"[11,54]","[10,12)",1009,2150,22808,25384,0.084699023,0.898518752,20658,0.123477898,0.864929108,17780,Trump,Republican,Romney,Republican,No
01011,Bullock County,AL,South,"[   10,   50)","[ 17,   45)","[  9,   25)","[50.0,85.3]",10764,45.2,27.2,69.9,26.9,622.81,32033,"[ 0, 5)","[ 0, 4)",1011,3530,1139,4701,0.750904063,0.242288875,2391,0.763068823,0.235050771,2808,Clinton,Democrat,Obama,Democrat,No
01013,Butler County,AL,South,"[   10,   50)","[ 17,   45)","[ 25,   45)","[25.0,50.0)",20296,53.4,54.3,43.6,24,776.83,29918,"[ 8,11)","[10,12)",1013,3716,4891,8685,0.427864134,0.563154865,1175,0.460508278,0.535800907,714,Trump,Republican,Romney,Republican,No
01015,Calhoun County,AL,South,"[  100,  500)","[118,71672]","[ 82,  215)","[15.0,25.0)",115916,51.7,76,20.9,22.5,605.87,39962,"[11,54]","[10,12)",1015,13197,32803,47376,0.278558764,0.692396994,19606,0.335207612,0.65467128,14772,Trump,Republican,Romney,Republican,No
