date,sp500,monbase,sp500_i,monbase_i
2009-03-11,696.68,1542228,100,100
2009-03-18,766.73,1693133,110.05483148647875,109.78486968204442
2009-03-25,799.1,1693133,114.70115404489867,109.78486968204442
2009-04-01,809.06,1733017,116.13079175518173,112.37099832190832
2009-04-08,830.61,1733017,119.22403398978012,112.37099832190832
2009-04-15,852.21,1789878,122.32445312051445,116.05793695873763
2009-04-22,852.18,1789878,122.32014698283287,116.05793695873763
2009-04-29,860.89,1709369,123.57036228971694,110.83763230858213
2009-05-06,896.18,1709369,128.6358155824769,110.83763230858213
2009-05-13,907.63,1805373,130.27932479761154,117.06265221484762
2009-05-20,899.45,1805373,129.10518458976864,117.06265221484762
2009-05-27,894.68,1772436,128.42050869839812,114.92697577790054
2009-06-03,929.07,1772436,133.3567778607108,114.92697577790054
2009-06-10,940.65,1722716,135.01894700579894,111.70306854758181
2009-06-17,927.5,1722716,133.13142332204168,111.70306854758181
2009-06-24,905.74,1621214,130.00803812367226,105.12155141781889
2009-07-01,921.81,1621214,132.31469254176952,105.12155141781889
2009-07-08,888.93,1682217,127.59516564276281,109.07706253550057
2009-07-15,900.28,1682217,129.22432106562553,109.07706253550057
2009-07-22,948.18,1672288,136.09978756387437,108.43325370827142
2009-07-29,978.5,1672288,140.45185738071999,108.43325370827142
2009-08-05,997.05,1648636,143.11448584716084,106.89962832992268
2009-08-12,1002.96,1648636,143.96279497043122,106.89962832992268
2009-08-19,996.54,1744441,143.04128150657405,113.11174482631621
2009-08-26,1023.04,1744441,146.8450364586324,113.11174482631621
2009-09-02,1014.66,1765635,145.64218866624563,114.48599039830687
2009-09-09,1019.6,1765635,146.3512660044784,114.48599039830687
2009-09-16,1051.52,1795581,150.93299649767468,116.42772663964082
2009-09-23,1066.2,1795581,153.04013320319228,116.42772663964082
2009-09-30,1055.17,1858017,151.45690991559974,120.4761552766517
2009-10-07,1041.56,1858017,149.50335878739162,120.4761552766517
2009-10-14,1075.67,1927828,154.39943733134297,125.00278817399244
2009-10-21,1090.92,1927828,156.5883906528105,125.00278817399244
2009-10-28,1069.1,2003003,153.4563931790779,129.8772295665751
2009-11-04,1047.42,2003003,150.34449101452606,129.8772295665751
2009-11-11,1084.11,1989940,155.61089739909283,129.0302082441766
