year,id,age,race,sex,siblings,kids
1972,1,23,White,Female,3,0
1972,2,70,White,Male,4,4+
1972,3,48,White,Female,5,4+
1972,4,27,White,Female,5,0
1972,5,61,White,Female,2,2
1972,6,26,White,Male,1,0
1972,7,28,White,Male,6+,2
1972,8,27,White,Male,1,0
1972,9,21,Black,Female,2,2
1972,10,30,Black,Female,6+,4+
1972,11,30,Black,Female,6+,1
1972,12,56,Black,Male,6+,4+
1972,13,54,Black,Male,2,1
1972,14,49,Black,Female,2,2
1972,15,41,Black,Male,0,4+
1972,16,54,Black,Male,6+,2
1972,17,24,White,Male,0,2
1972,18,62,White,Female,2,3
1972,19,46,White,Female,2,3
1972,20,21,White,Female,6+,0
1972,21,57,White,Male,2,2
1972,22,58,White,Male,1,2
1972,23,21,White,Male,1,0
1972,24,26,White,Female,6+,1
1972,25,71,White,Female,2,0
1972,26,53,White,Female,6+,2
1972,27,42,White,Male,5,2
1972,28,42,White,Female,4,2
1972,29,20,White,Male,2,0
1972,30,23,White,Male,4,2
1972,31,26,White,Male,6+,2
1972,32,25,White,Female,2,1
1972,33,26,White,Male,1,0
1972,34,78,White,Female,6+,4+
1972,35,21,White,Male,6+,1
1972,36,27,White,Male,6+,2
1972,37,58,White,Female,3,2
1972,38,35,White,Female,5,1
1972,39,58,White,Male,4,0
1972,40,51,White,Female,5,2
1972,41,76,White,Female,0,2
1972,42,53,White,Male,2,2
1972,43,39,White,Male,4,2
1972,44,64,White,Female,6+,0
1972,45,50,White,Female,6+,4+
1972,46,27,White,Female,3,0
1972,47,25,White,Male,3,0
1972,48,49,White,Male,3,4+
1972,49,40,White,Male,3,4+
1972,50,43,White,Male,6+,4+
1972,51,46,White,Male,0,3
1972,52,37,White,Male,6+,4+
1972,53,46,White,Male,6+,2
1972,54,22,White,Female,3,1
1972,55,53,White,Female,4,4+
1972,56,35,White,Male,3,4+
1972,57,31,White,Female,1,3
1972,58,30,White,Female,6+,0
1972,59,37,White,Female,2,3
1972,60,57,White,Female,6+,4+
1972,61,39,White,Male,2,1
1972,62,62,White,Female,1,1
1972,63,51,White,Male,2,4+
1972,64,43,White,Male,6+,4+
1972,65,39,White,Male,1,4+
1972,66,52,White,Female,1,2
1972,67,30,White,Male,2,2
1972,68,47,White,Female,2,0
1972,69,31,White,Female,3,0
1972,70,25,White,Male,2,0
1972,71,45,White,Male,6+,1
1972,72,30,White,Female,6+,2
1972,73,68,White,Male,3,2
1972,74,63,White,Female,2,1
1972,75,19,White,Male,3,0
1972,76,23,White,Male,4,0
1972,77,46,White,Female,2,1
1972,78,55,White,Female,6+,1
1972,79,22,White,Male,3,1
1972,80,55,White,Female,3,0
1972,81,44,White,Male,5,4+
1972,82,41,White,Female,2,2
1972,83,49,White,Male,5,0
