year,id,ballot,age,childs,sibs,degree,race,sex,region,income16,relig,marital,padeg,madeg,partyid,polviews,happy,partners,grass,zodiac,pres12,wtssall,income_rc,agegrp,ageq,siblings,kids,religion,bigregion,partners_rc,obama
2016,1,1,47,3,2,Bachelor,White,Male,New England,$170000 or over,None,Married,Graduate,High School,Independent,Moderate,Pretty Happy,NA,NA,Aquarius,3,0.956993511490439,Gt $170000,Age 45-55,Age 34-49,2,3,None,Northeast,NA,0
2016,2,2,61,0,3,High School,White,Male,New England,$50000 to 59999,None,Never Married,Lt High School,High School,"Ind,near Dem",Liberal,Pretty Happy,1 Partner,Legal,Scorpio,1,0.4784967557452195,Gt $50000,Age 55-65,Age 49-62,3,0,None,Northeast,1,1
2016,3,3,72,2,3,Bachelor,White,Male,New England,$75000 to $89999,Catholic,Married,High School,Lt High School,Not Str Republican,Conservative,Very Happy,1 Partner,Not Legal,Pisces,2,0.956993511490439,Gt $75000,Age 65+,Age 62+,3,2,Catholic,Northeast,1,0
2016,4,1,43,4,3,High School,White,Female,New England,$170000 or over,Catholic,Married,NA,High School,Not Str Republican,Moderate,Pretty Happy,NA,NA,Cancer,2,1.913987022980878,Gt $170000,Age 35-45,Age 34-49,3,4+,Catholic,Northeast,NA,0
2016,5,3,55,2,2,Graduate,White,Female,New England,$170000 or over,None,Married,Bachelor,High School,Not Str Democrat,Slightly Liberal,Very Happy,1 Partner,Legal,Scorpio,1,1.4354902672356584,Gt $170000,Age 45-55,Age 49-62,2,2,None,Northeast,1,1
2016,6,2,53,2,2,Junior College,White,Female,New England,$60000 to 74999,None,Married,NA,High School,Not Str Democrat,Slightly Liberal,Very Happy,1 Partner,Legal,Scorpio,1,0.956993511490439,Gt $60000,Age 45-55,Age 49-62,2,2,None,Northeast,1,1
2016,7,1,50,2,2,High School,White,Male,New England,$170000 or over,None,Married,High School,High School,Not Str Republican,Slightly Liberal,Pretty Happy,NA,NA,Capricorn,NA,1.4354902672356584,Gt $170000,Age 45-55,Age 49-62,2,2,None,Northeast,NA,NA
2016,8,3,23,3,6,High School,Other,Female,Middle Atlantic,$30000 to 34999,Catholic,Married,Lt High School,Lt High School,"Ind,near Dem",Slightly Conservative,Very Happy,1 Partner,Not Legal,Aquarius,NA,0.956993511490439,Gt $30000,Age 18-35,Age 18-34,6+,3,Catholic,Northeast,1,NA
2016,9,1,45,3,5,High School,Black,Male,Middle Atlantic,$60000 to 74999,Protestant,Married,Lt High School,Lt High School,Strong Democrat,NA,Pretty Happy,NA,NA,NA,NA,0.956993511490439,Gt $60000,Age 35-45,Age 34-49,5,3,Protestant,Northeast,NA,NA
2016,10,3,71,4,1,Junior College,White,Male,Middle Atlantic,$60000 to 74999,None,Divorced,High School,High School,Strong Republican,Conservative,Pretty Happy,3 Partners,Not Legal,Sagittarius,2,0.956993511490439,Gt $60000,Age 65+,Age 62+,1,4+,None,Northeast,3,0
2016,11,2,33,5,4,High School,Black,Female,Middle Atlantic,under $1 000,Protestant,Never Married,High School,Lt High School,Strong Democrat,NA,NA,1 Partner,Legal,Leo,NA,0.4784967557452195,Gt $0,Age 18-35,Age 18-34,4,4+,Protestant,Northeast,1,NA
2016,12,1,86,4,4,High School,White,Female,Middle Atlantic,under $1 000,Protestant,Widowed,High School,NA,Strong Republican,Slightly Conservative,Not Too Happy,NA,NA,Cancer,NA,0.7821816814876192,Gt $0,Age 65+,Age 62+,4,4+,Protestant,Northeast,NA,NA
2016,13,2,32,3,3,High School,Black,Male,Middle Atlantic,$8 000 to 9 999,Catholic,Married,NA,High School,"Ind,near Dem",Slightly Liberal,Very Happy,1 Partner,Legal,Libra,1,1.913987022980878,Gt $0,Age 18-35,Age 18-34,3,3,Catholic,Northeast,1,1
2016,14,3,60,5,6,High School,Black,Female,Middle Atlantic,$12500 to 14999,Protestant,Married,High School,NA,Strong Democrat,Liberal,Very Happy,NA,Legal,Aquarius,1,0.4784967557452195,Gt $10000,Age 55-65,Age 49-62,6+,4+,Protestant,Northeast,NA,1
2016,15,2,76,7,0,Lt High School,White,Male,New England,$40000 to 49999,Catholic,Divorced,Lt High School,Lt High School,Independent,Moderate,Pretty Happy,No Partners,Not Legal,Virgo,2,0.4784967557452195,Gt $40000,Age 65+,Age 62+,0,4+,Catholic,Northeast,0,0
2016,16,3,33,2,1,High School,White,Female,New England,$50000 to 59999,Other,Never Married,High School,NA,Independent,Moderate,Pretty Happy,1 Partner,Legal,Taurus,1,0.956993511490439,Gt $50000,Age 18-35,Age 18-34,1,2,Other,Northeast,1,1
2016,17,3,56,6,3,High School,White,Male,New England,$50000 to 59999,Protestant,Married,Lt High School,Lt High School,NA,Conservative,Very Happy,No Partners,Legal,Cancer,2,1.913987022980878,Gt $50000,Age 55-65,Age 49-62,3,4+,Protestant,Northeast,0,0
2016,18,2,62,5,8,Lt High School,Other,Female,New England,$5 000 to 5 999,Protestant,Widowed,NA,Lt High School,Strong Democrat,Slightly Liberal,Pretty Happy,NA,Legal,Pisces,1,0.4784967557452195,Gt $0,Age 55-65,Age 49-62,6+,4+,Protestant,Northeast,NA,1
2016,19,2,31,0,2,Graduate,Black,Male,New England,$35000 to 39999,None,Never Married,High School,Junior College,"Ind,near Dem",Liberal,Pretty Happy,2 Partners,Legal,Sagittarius,1,0.4784967557452195,Gt $35000,Age 18-35,Age 18-34,2,0,None,Northeast,2,1
2016,20,1,43,2,0,High School,Black,Male,New England,$25000 to 29999,Protestant,Divorced,Bachelor,Bachelor,Strong Democrat,Liberal,Pretty Happy,NA,NA,Gemini,1,0.7821816814876192,Gt $25000,Age 35-45,Age 34-49,0,2,Protestant,Northeast,NA,1
2016,21,2,58,0,1,High School,White,Female,New England,$90000 to $109999,Catholic,Never Married,High School,High School,Strong Democrat,Liberal,Pretty Happy,No Partners,Legal,Leo,1,0.956993511490439,Gt $90000,Age 55-65,Age 49-62,1,0,Catholic,Northeast,0,1
2016,22,3,32,3,4,Lt High School,Black,Female,Middle Atlantic,$40000 to 49999,None,Never Married,High School,High School,Independent,Slightly Conservative,Pretty Happy,1 Partner,Legal,Pisces,NA,1.5643633629752385,Gt $40000,Age 18-35,Age 18-34,4,3,None,Northeast,1,NA
2016,23,2,23,2,2,Lt High School,Other,Female,Middle Atlantic,$22500 to 24999,None,Never Married,NA,Lt High School,"Ind,near Dem",Slightly Liberal,Very Happy,1 Partner,Not Legal,Virgo,NA,1.5643633629752385,Gt $20000,Age 18-35,Age 18-34,2,2,None,Northeast,1,NA
2016,24,3,37,2,2,High School,White,Female,Middle Atlantic,$60000 to 74999,Catholic,Married,High School,High School,Independent,Extremely Conservative,Very Happy,1 Partner,Legal,Cancer,NA,1.5643633629752385,Gt $60000,Age 35-45,Age 34-49,2,2,Catholic,Northeast,1,NA
2016,25,3,25,2,2,Junior College,White,Female,Middle Atlantic,$20000 to 22499,Catholic,Divorced,High School,NA,"Ind,near Rep",Liberal,Pretty Happy,3 Partners,Not Legal,Libra,NA,0.4784967557452195,Gt $20000,Age 18-35,Age 18-34,2,2,Catholic,Northeast,3,NA
2016,26,2,76,8,7,Lt High School,White,Female,Middle Atlantic,$5 000 to 5 999,Protestant,Separated,NA,NA,Strong Democrat,NA,Not Too Happy,No Partners,Not Legal,Sagittarius,1,0.956993511490439,Gt $0,Age 65+,Age 62+,6+,4+,Protestant,Northeast,0,1
2016,27,1,71,2,1,Graduate,White,Male,Middle Atlantic,NA,Jewish,Married,High School,High School,Strong Democrat,Liberal,Very Happy,NA,NA,Cancer,1,1.5643633629752385,NA,Age 65+,Age 62+,1,2,Jewish,Northeast,NA,1
2016,28,2,22,0,0,High School,Black,Male,Middle Atlantic,NA,None,Never Married,High School,High School,Independent,Moderate,Not Too Happy,2 Partners,Legal,Scorpio,NA,1.4354902672356584,NA,Age 18-35,Age 18-34,0,0,None,Northeast,2,NA
2016,29,2,74,2,1,Graduate,White,Male,Middle Atlantic,$110000 to $129999,Jewish,Widowed,Bachelor,High School,Not Str Democrat,Moderate,Pretty Happy,NA,Not Legal,Leo,1,0.4784967557452195,Gt $110000,Age 65+,Age 62+,1,2,Jewish,Northeast,NA,1
2016,30,3,75,3,7,High School,White,Female,Middle Atlantic,$30000 to 34999,Orthodox-Christian,Divorced,High School,NA,"Ind,near Rep",Conservative,Not Too Happy,No Partners,Legal,Sagittarius,2,0.4784967557452195,Gt $30000,Age 65+,Age 62+,6+,3,Other,Northeast,0,0
2016,31,2,32,0,2,High School,White,Male,Middle Atlantic,$35000 to 39999,None,Never Married,High School,High School,"Ind,near Dem",Liberal,Not Too Happy,No Partners,Legal,Leo,1,2.3924837787260973,Gt $35000,Age 18-35,Age 18-34,2,0,None,Northeast,0,1
2016,32,3,68,2,3,High School,White,Female,Middle Atlantic,$60000 to 74999,Catholic,Married,High School,High School,Independent,Moderate,Pretty Happy,1 Partner,Legal,Gemini,1,0.956993511490439,Gt $60000,Age 65+,Age 62+,3,2,Catholic,Northeast,1,1
