country,year,lifeexp,is_usa
Australia,1960,70.9,other
Australia,1961,71.2,other
Australia,1962,71,other
Australia,1963,71.1,other
Australia,1964,70.7,other
Australia,1965,71,other
Australia,1966,70.8,other
Australia,1967,71.2,other
Australia,1968,70.9,other
Australia,1969,71.1,other
Australia,1970,70.8,other
Australia,1971,71.6,other
Australia,1972,72,other
Australia,1973,72.1,other
Australia,1974,71.9,other
Australia,1975,72.7,other
Australia,1976,72.8,other
Australia,1977,73.4,other
Australia,1978,73.7,other
Australia,1979,74.3,other
Australia,1980,74.6,other
Australia,1981,74.9,other
Australia,1982,74.7,other
Australia,1983,75.5,other
Australia,1984,75.8,other
Australia,1985,75.6,other
Australia,1986,76.1,other
Australia,1987,76.3,other
Australia,1988,76.3,other
Australia,1989,76.5,other
Australia,1990,77,other
Australia,1991,77.4,other
Australia,1992,77.5,other
Australia,1993,78,other
Australia,1994,78,other
Australia,1995,77.9,other
Australia,1996,78.2,other
Australia,1997,78.5,other
Australia,1998,78.7,other
Australia,1999,79,other
Australia,2000,79.3,other
Australia,2001,79.7,other
Australia,2002,80,other
Australia,2003,80.3,other
Australia,2004,80.6,other
Australia,2005,80.9,other
Australia,2006,81.1,other
Australia,2007,81.4,other
Australia,2008,81.5,other
Australia,2009,81.6,other
Australia,2010,81.8,other
Australia,2011,82,other
Australia,2012,82.1,other
Australia,2013,82.2,other
Australia,2014,82.4,other
Australia,2015,82.5,other
Austria,1960,68.7,other
Austria,1961,69.7,other
Austria,1962,69.4,other
Austria,1963,69.6,other
Austria,1964,70,other
Austria,1965,69.8,other
Austria,1966,70.2,other
Austria,1967,70,other
Austria,1968,70.2,other
Austria,1969,69.9,other
Austria,1970,70,other
Austria,1971,70.2,other
Austria,1972,70.6,other
Austria,1973,71.1,other
Austria,1974,71.1,other
Austria,1975,71.2,other
Austria,1976,71.7,other
Austria,1977,72,other
Austria,1978,72.1,other
Austria,1979,72.4,other
Austria,1980,72.6,other
Austria,1981,72.9,other
Austria,1982,73.1,other
Austria,1983,73.1,other
Austria,1984,73.7,other
Austria,1985,73.9,other
Austria,1986,74.4,other
Austria,1987,74.9,other
Austria,1988,75.3,other
